item;Texto
11;"Buenos días, les escribo este email, para pedirles el apoyo y su colaboración a nuestra plataforma la cual está haciendo un gran esfuerzo para la mejora del transporte en la zona de Segovia y Soria y mostramos nuestro total apoyo y colaboración a todas las federaciones y asociaciones que nos lo pidan, a nivel nacional. 

Ya tenemos la colaboración y ayuda de los ayuntamientos de El Burgo de Osma, San Esteban de Gormaz, Ayllón, Riaza, Aranda de Duero, Boceguillas, Sequera de Fresno, Santo Tomé del Puerto, Bercimuel y El Espinar.

Y una dirección de internet en la cual pueden ver un programa de radio en la emisora ""Nordeste Radio"" en la cual mostramos nuestros progresos, y un blog en el cual pueden ver toda la información de nuestra plataforma &nbsp;https://poruntransportedigno2024.blogspot.com/

Muchas gracias por todo, y reciban un cordial saludo

Jesús Clemente de Pablo.
Presidente de la plataforma ""Por un Transporte digno""."
12;"Buenas tardes Sr. Presidente,
Por fin tenemos un gobierno en Madrid que afronta el problema catalán sin complejos.
Son Vds. muy valientes y el acuerdo con ERC ni hará a los españoles más pobres ni perderán calidad de servicios.
Ánimos y adelante que están Vds. haciendo la mejor política desde la transición.
Un abrazo,
Diego Haro"
13;Mucho ánimo, otra piedra más en el camino pero confío que está (derecha mala y rancia) no van a poder contigo, sé que una vez más sacarás algo de tu tesón y conseguirás vencer a estos miserables. A éste mald... juez que quiere irse con las botas puestas, NO SE LO PERMITAS, que no pueda contigo, porque detrás de ti somos muchos millones de personas que estamos a tu lado. ÁNIMO 💪
14;"Buenas tardes, no sé si este correo va a llegar al presidente Sanchez…

Soy una persona que he votado siempre a socialistas. Creo que es la mejor opción pero, en estos momentos, sería incapaz de hacerlo.

Hay una gran diferencia entre socialismo y sanchismo.

No entiendo, y muchos socialistas (me consta) como por mantenerse en el poder se puede ceder tanto y tanto ante lo que parecen chantajes.

¿No sería mejor poneros de acuerdo los partidos grandes para cambiar la ley electoral?

Sería una forma de mandar al cuerno a chantajistas que os tienen siempre entre las cuerdas…

Os pido, en especial al presidente, que recapacite y piense en TODOS los españoles y no sólo en mantenerse en el poder de esta forma.

No estoy segura si este es el objetivo pero, no podemos entender la política actual.

Escucho hablar a antiguos socialistas de mucho peso y se ve la gran distancia que hay.
Por supuesto, me encantaría que se volviera a los principios socialistas que imperaban antes.
El mejor consejo que puedo ofrecer (si lo aceptan).

Me gustaría recibir una respuesta… pero, sobretodo, me gustaría que cambiaran la política actual porque estoy desencantada.

¿Cómo es posible que cedan al chantaje? ¿Cómo es posible que nos traten al resto de españoles de manera tan desigual económicamente hablando?

Un saludo, y recuerden que el gobierno debe gobernar para todos los españoles.
Nací en Cataluña pero vivo en Andalucia y el resto de españoles que no vive en Cataluña,
nos sentimos impotentes y frustrados. Y eso nunca me había pasado con ningún gobierno anterior."
15;Quiero trasladar un mensaje tranquilizador al presidente del gobierno, sobre la querella interpuesta, le ampara el art. 703 de la Ley de Enjuiciamiento Criminal, pudiendo declarar por escrito, siempre que, sea conocedor de los hechos que se le pregunten, en el momento que desempeñe un cargo político (como es este caso). Por otro lado, le deseo una resolución judicial satisfactoria para el presidente del gobierno y también felicitarle por el trabajo tan profesional que está realizando.
16;"Si el juez le ha citado a usted como marido de Begoña y usted interpone una querella contra el juez. ¿Pagará usted los gastos de esta querella contra el juez?
Yo ya estoy cansado de pagar y pagar"
17;Hoy, negarte a declarar y denunciar al juez Peinado por prevaricación me hace sentir q  estoy en democracia. Pedro, no pares, sigue, sigue...🎶🎵🎶🎼🎼
18;"Sr. Presidente

Tenga un Vd. lo que tiene un hombre y no apoye la financiación de Cataluña. Sus diputados apoyaron la admistia. No cree que ya está bien?. 
Por el bien de ESPAÑA, defienda la nación 

Gracias por atenderme"
19;"Por las recientes noticias sobre la financiación singular para Cataluña, quiero comentarle, que este humilde ciudadano residente en canarias y a razón de la postura insensible de todo el arco parlamentario con el problema de los migrantes menores que llegan a Canarias y como el pueblo catalán logra una financiación especial, quería comunicarle que a partir de hoy dejaré de votar al partido socialista obrero español, partido que he votado toda mi vida y tengo 79 años.
Sintiéndolo muchísimo le saluda atentamente.
Eugenio Tacoronte Morales
DNI 42 668 230 X"
20;"Buenos días
Nos ponemos en contacto con usted para hacerle llegar una carta de invitación al Presidente del Gobierno para participar en el Comité de Honor del 41 Seminario de Ingeniería Hospitalaria
Agradeciéndole su colaboración, quedamos a la espera de su respuesta
Reciba un cordial saludo"
21;"Soy militante del PSOE desde muchos años. Vengo apoyando a Pedro Sánchez por muchos factores, dado que están trayendo beneficios a nuestro país.
No obstante, a tenor de las informaciones que nos llegan, expreso mi disconformidad política y cívica con la pretensión de ir implementando criterios de ruptura o debilitamiento de la caja única, que garantiza una mayor solidaridad. Ello resultaría perjudicial para la trayectoria del socialismo y, sobre todo, de los intereses de las clases más desfavorecidas.

Mis mejores deseos para nuestro presidente Pedro Sánchez. 

Un abrazo socialista.

        Joaquín Cabezudo Rodas."
22;"Hola Compañero

Si a ti siendo el Presidente de España te hace todo esto un juez imaginate lo que me hicieron a mi que yo no era nadie un simple funcionario policia, a mi fabricaron las pruebas falsas los unos y los otros. Dios mio que calvario se pasa y ahora ni placa de jubilado que me toca porque el Compañero Felix Larrosa hace caso a mi enemigo corrupto el intendente Ibarz. YO quiero m placa me correspònde por ley y lo que diga este intendente corrupto el alcalde ni caso. Ayúdame por favor Pedro hablando con el Felix i Oscar Ordeig cuando puedas.
Un abrazo muy fuerte , ánimos

Ramón Ribert"
23;"Les felicito. Solamente queda blindar las pensiones en la constitución española con la subida del ipc incluída. Gran pacto de estado. 
🌹."
24;"El pasado 03/06/2024 se solicitó a través de este formulario de contacto una petición de saluda del Sr. Presidente del Gobierno para incluirlo en la Revista Vinaria que este Ayuntamiento edita con motivo de la Real Feria y Fiesta de la Vendimia del Condado. Al no tener respuesta en el plazo indicado en la carta que adjuntamos, volvemos a contactar para solicitar de nuevo esta colaboración.

Le vuelvo a adjuntar la carta de solicitud.

Saludos,"
25;"Siempre he defendido los proyectos y políticas impulsados por el PSOE, incluso la amnistía entre mi circulo de amistades aún quedando en soledad defendiendo la normalización de la convivencia en Cataluña. Me parece positivo que se mejore la financiación de Cataluña y se condones parte de la deuda como al resto de las CCAA.

Perderán mi apoyo y de muchas personas que se siente socialistas y que defienden la solidaridad entre personas y entre los territorios y que pagamos impuestos con convicción para ayudar a las capas sociales más desfavorecidas. 

La singularidad histórica del concierto de País Vasco y Navarra está reconocido en la Constitución, reconocer un Concierto similar a Cataluña no lo está y querer establecer un modelo federal de Estado, necesita del consenso de una gran mayoría del pueblo español que lo votará en un referéndum.

No es asumible trocear la  AEAT  y generar ineficiencias en la persecución del fraude fiscal y la reducción de ingresos globalmente, donde sus potentes sistemas informáticos, verían mermada su eficiencia,  en la que he trabajado con orgullo durante 36 años.

La extorsión de ERC para seguir gobernando no debe asumirse y ofrecer una mejora financiera , con apoyo en inversiones en su territorio y facilidades de crédito  son las medidas asumibles.

 Cataluña representa el 20% PIB Nacional, con sede de grandes empresas que despliegan actividad en todo el territorio y por ende recaudan no solo lo que pagan ciudadanos residentes en Cataluña, sino del resto de Estado.
Que sentido tiene un proyecto de factura electrónica centralizado que reducirá significativamente el fraude,  si se va ceder las competencias de recaudación de IVA  a la Agencia Catalana.
No volveré a votar al PSOE si se mantiene la federalización de la gestión tributaria, sin un referéndum  del pueblo español que lo ratifique."
26;"Estimado Pedro Sánchez,

Me pongo en contacto con usted para presentarle mi total decepción con el trato hacia la conciliación familiar. Después de haberle votado, lo cual lo considero un grandísimo error, esperaba cambios efectivos en base a sus promesas: 20 semanas de permiso por paternidad, permiso de lactancia de 28 días y, por último, la remuneración de las 4 primeras semanas de permiso por cuidado del menor.

De todas las promesas expuestas previamente, no se ha cumplido ni una. Entonces mi pregunta es: si ya es suficientemente difícil criar a un menor con la situación laboral y económica que tenemos, ¿Cómo se plantea la continuidad generacional del país? Más que nada, porque después se leen titulares en los periódicos con frases como “Los jóvenes de hoy en día no quieren tener hijos”. Error. Sí queremos, lo que podemos. Podría hacer una lista interminable de algunos motivos, como por ejemplo la precariedad laboral o el derecho a una vivienda digna y asequible, pero no tengo tanto tiempo.

Actualmente tengo un bebé de tres meses. Lo que significa que cuando voté ya estaba embarazada. Si se hubiese cumplido al menos una de las tres promesas, tendría hasta excusa, pero es que me parece lamentable. Muy europeos para una cosa y tan pocos para otras.

Aunque estoy segura de que este correo va a ir a parar a un saco roto, espero que como mínimo haga bulto y se junte con los de más personas en mi misma situación.

Saludos,

Yaiza Pastor Domenech"
27;"Buenos dias Presidente,a pocas horas de saberse si habrá nuevas elecciones en Cataluña,se le informa de un posible GRAVE FRAUDE SOCIAL que requerirá solución inmediata sea cual sea,el resultado de la consulta a la militancia de ERC.Así mismo, que según estadisticas en sistemas de 9ª generación,el PSC volvería a ganar con mayor soporte que el anterior,aún y haciéndose pública,esta presunta VULNERACION DE DERECHOS DE FAMILIAS VULNERABLES en relación al ART 47 DE nuestra CT.Se le facilita como prueba,un archivo adjunto,donde se aprecia que en municipios de Cataluña y posiblemente también en el resto de España, se mezclan e imputan impuestos con cuotas de mantenimiento urbanistico,a familias vulnerables para que la suma de ambos presuntos CONCEPTOS DE DUDOSA LEGALIDAD ,sumen mayor cuantía  a la hora de EMBARGAR ALGUN BIEN ( la cuenta bancaria,la vivienda ó el coche DE FAMILIAS VULNERABLES,lo que es totalmente contrario a nuestra CT y al sentido común social.
Servicios urbanos esenciales como el agua potable ó el alcantarillado hasta las viviendas,que además,de NO haber sido ejecutados por el PROMOTOR ni preceptivamente, por EL PROPIO AYUNTAMIENTO ,,antes del otorgamiento de licencias de obra,han seguido y siguen imponiendose dichos IMPUESTOS DIRECTOS URBANOS Y TASAS a una  ciudadanía vulnerable,por parte de ayuntamientos y Diputaciones con la necesaria colaboración de presuntos propietarios-as ""AFINES"" en forma de presuntas ilegales Entidades de Conservación Urbanistica,que los reclaman por VIA DE APREMIO Y EMBARGO en zonas sin haber sido urbanizadas legalmente, ( cuya tutela jurídica de ejecución de obras, se garantiza por el propio ayuntamiento,según la normativa legal actual),perteneciendo al GRUPO PROMOTOR ORIGINAL Y EN SU DEFECTO AL CONSISTORIO,la correcta  realización y sufragación de todos los servicios urbanisticos),que no fueron ejecutados,desconociéndose en la mayoria de casos, donde fué a parar el dinero de dichas cuantiosas obras,lo que podría saberse CON UNA INVESTIGACIÓN ESTATAL Y CIUDADANA,para que se aporten las pruebas de dichos PRESUNTOS FRAUDES URBANISTICOS,con GRAN IMPACTO SOCIAL Y ECONÓMICO PARA LAS FAMILIAS,ESPECIALMENTE LAS VULNERABLES,lo que debería corregirse inmediatamente,según se ha OPINADO respetuosamente antes de aprobar la nueva Ley del suelo.Atte."
28;"Estimado/a Sr./Sra., 

Espero que este mensaje le encuentre bien. 

Le escribo en mi calidad de Presidente del Comité Al-Andalus, el primer think tank académico que reúne a estudiantes de instituciones de todo el mundo con el objetivo de explorar nuevas asociaciones internacionales y promover un orden mundial multilateral.

Este año, nuestras investigaciones nos han llevado a redactar un informe sobre las relaciones entre el mundo árabe, la Península Ibérica y América Latina, y las perspectivas de mejora. Nuestra iniciativa es apolítica y tiene como único objetivo fortalecer los lazos entre estas regiones del mundo. 

Adjuntamos un mensaje dirigido al Excmo. Sr. Presidente del Gobierno Pedro Sánchez, junto con una copia del informe final en formato PDF para su consideración.

Agradecemos sinceramente su interés en nuestro trabajo.

Atentamente, 
-
Azzedine Lahlou
LSE, Columbia '26
Chairman, Committee Al Andalus
committee-al-andalus.com"
29;"Sr. Presidente, apoyando lo que usted está haciendo, aunque espero que de verdad lo de Cataluña no rompa la solidaridad, creo que es muy necesario explicar muy bien a todas las federaciones socialistas lo que es este acuerdo, porque no es bueno que se levanten en pie los barones socialistas, porque lo de Page, como usted dijo, lo raro sería que le apoyara en algo y así se lo he hecho saber a él, pero parece que hoy hay más barones que opinan en contra.
También habría que explicar, que lo que acaba con la solidaridad es que haya comunidades que perdonen impuestos a los ricos y  luego pidan más dinero al gobierno central. 
Es muy importante que se explique muy bien todo a la ciudadanía, porque si no se hace así, como no explicó Zapatero por qué tuvo que hacer lo que hizo cuando Europa se lo exigía, se pueden perder las siguientes elecciones, porque la gente no parece acordarse de las cosas que se han hecho bien."
30;Yo le aconsejo a begoña gomez que si tiene que ir a plaza de castilla para declarar que vaya y si le cita el juez tambien porque es lo que le diga el abogado pero que no haga caso se tiene que defender y con pruebas de su inocencia asi que que vaya y hacia adelante bego
31;"Estimado Sr Pedro Sánchez

Espero que mi correo-e llegue a tiempo. Básicamente le aconsejo que si Puigdemont entra en España y se pone en plan insoportable, le arreste. Y si como consecuencia ya le resulta imposible gobernar, adelante elecciones. No es de recibo que Puigdemont se dedique ""a dar por saco"" lo que quede de legislatura, y sería un error tremendo darle la independencia que probablemente es lo que va a acabar por exigir. Si tiene que acabar por no agotar la legislatura, eso después de todo no es tan terrible. Lo que es horrible es como está quedando y puede quedar Ud por culpa de Puigdemont.
Atentamente"
32;Sr.Presidente, como progresista y votante socialista creo humildemente que se está usted equivocado con el tema catalán, yo pertenezco al reino de Granada y creo repito humildemente y desde el más absoluto respeto que vd. está rompiendo el principio de solidaridad y faltando a la constitución, si cree que eso es lo justo sométalo a referéndum . Repito es mi humilde opinión opinión de alguien que se siente defraudado .Saludos
33;CON MOTIVO DE LA SITUACIÓN CRÍTICA, HUMANITARIA Y SANITARIA QUE VIVE EL PUEBLO DE ANNOBÓN BAJO EL RÉGIMEN BRUTAL DE TEODORO OBIANG NGUEMA EN GUINEA ECUATORIAL.
34;"https://www.elimparcial.es/movil/noticia/272785/nacional/junts-amenaza-con-romper-el-pacto-de-investidura-de-pedro-sanchez-si-puigdemont-es-detenido.html

Yo que el no accederia al chantaje si lo meten en la carcel a puigdemonts que lo metan porque se va a meter en mas lios asi que nada eso son chantajes y que me haga caso pedrito"
35;"Estimado Sr. Presidente del Gobierno,

Me dirijo a usted con el debido respeto para expresar mi preocupación sobre la posible vuelta a España del señor Carles Puigdemont. Como ciudadano español, considero fundamental que todos los ciudadanos, sin excepción, sean tratados de acuerdo con la constitución y las leyes que emanan de ella.

El Sr. Puigdemont, al igual que cualquier otro ciudadano, debe responder ante la justicia por los actos que se le imputan. Es imperativo que se respete el Estado de Derecho y se cumplan las sentencias judiciales emitidas. Permitir su entrada en España sin que se actúe conforme a las decisiones judiciales establecería un precedente peligroso y erosivo para nuestra democracia y el principio de igualdad ante la ley.

Le insto a asegurar que las autoridades competentes actúen conforme a la ley en caso de que el Sr. Puigdemont regrese a España, procediendo a su detención y posterior juicio. La fortaleza de nuestro país reside en la imparcialidad y firmeza de nuestras instituciones legales, y es esencial mantener esa integridad.

Confío en que se tomen las medidas adecuadas para garantizar que la justicia prevalezca, reafirmando así la confianza del pueblo español en su gobierno y en el sistema judicial.

Atentamente,"
36;A mi se me hace Sr Presidente que mientras usted esta preocupado por el Sr Puigdemont y el pueblo por los Juegos Olimpicos y todo la policia catalana para pillar a un politico . Estas jugadas solo se hacen en mi tierra cuando va a entrar un cargamento y en su caso yo creo que le estan desviando fondos o que quieren que usted gaste mas de lo normal y despues tenga que recurrir a quien no quiere alguien esta jugando no me lo creo ni yo . Toda la policia autonomica catalana movilizada por un Señor que ademas no se esconde si fuera el Lute que llevo a medio cuerpo de la Guardia Civil detras suya y mientras tanto los bancos desviando divisa a Suiza
37;"Creo que somos muchas las personas, que nunca hemos votado ni al PP ni a VOX, que nos sentimos consternados y enfadados ante el ridículo que han hecho las fuerzas de seguridad del estado (en minúsculas) ante las idas y venidas de un tal Puigdemont, el fugado que no exiliado. Es realmente incomprensible, y solo se puede explicar o bien por la inacción de unos o por la colaboración de otros (o ambas).
Porque entiendo que se le detenga mañana, para evitar el espectáculo hoy día de investidura, pero eso hay que explicarlo, hay que decirlo, y para eso están los gabinetes de asesoría y de comunicación. Deberían pensar un poco que para es o cobran.
Honestamente, nos han defraudado profundamente.
Yo no les voté para esto.
Manuel"
38;"Se.Presidente:
No todo vale ni en la otra vida, ni por supuesto en esta en el caso de los no creyentes.
Tenía incluso hasta indulgencia con usted. Tengo la suficiente experiencia como para saber que la política se mueve entre amenazas, coacciones, chantajes y demás despropósitos.
Pero si no está dispuesto a afrontarlos, ni exponer a su familia, debe dimitir.
Y si decide continuar, hágalo con dignidad por usted mismo y por los suyos, pero sobre todo por el resto de españoles.
Lo de hoy ha rebasado todo lo justificable. No tiene nombre. España se ha convertido en un circo.
Piense lo que le digo a título personal, no político ni ideológico.
Esperando sepa hacer lo correcto, le envío mis mejores deseos.
Un saludo afectuoso
Doctora crucelaegui"
39;"Buenos días. 

Me dirijo a ustedes con la intención de que conozcan mi impresión y la que creo es la impresión de muchos españoles. Evidentemente hablo por mi, pero creo que también lo podéis trasladar a la impresión de muchos otros. He defendido durante años una tendencia política, en la que creo habéis ayudado a muchos ciudadanos, pero los acontecimientos que hemos vivido los últimos meses, me hace imposible seguir haciéndolo. Hemos dejado de ser un estado solidario, un estado moderno, para movernos en aguas pantanosas, chantajeados por una fuerza que (no se por qué razón) nos hace convertirnos en una estado que mira hacia un sólo lado, el lado catalán. Por no decir, el último sainete, que a nivel internacional (caso Puigdemont) nos hace parecer un país sin un gobierno serio. 
Resumiendo, me siento huérfano, pero sólo les quería trasladar, que después de más de 30 años defendiendo mi derecho a voto, esta vez no lo haré, o al menos no lo haré defendiendo a un partido de la izquierda. 

Gracias por nada. 

Se despide atentamente un ciudadano totalmente defraudado. 

Saludos."
40;"Me dirijo a Vd, para presentara mi más enérgica protesta por la forma en la que se ha llevado a cabo el proceso de designación del Puesto de Delegado/a en el Real Sitio de San Lorenzo del Escorial

No ha habido la más mínima transparencia en el proceso, ya que no se ha publicado ninguna relación de aspirantes presentados, ni tampoco se ha publicado la forma en la que se ha llevado a cabo la selección.

Tampoco se ha podido comprobar los méritos ni la puntuación que se asigna a los mismos.
El que el procedimiento sea el de libre designación, no significa que las cosas no se deban hacer conforme a las normativas vigentes TREBEP, etc."
41;"Escribo al Sr. Presidente por si tiene a bien responder a una serie de preguntas y consideraciones.
Desde ""ya"" aviso que son preguntas capciosas... Bueno, como casi todo lo que se puede ver o adivinar en el mundillo político actual español (y menos español).
Ya soy viejo. Tuve el honor de servir a mi Patria cumpliendo con la llamada ""Mili"" (al igual que el Sr. Sánchez) y tuve la enorme suerte de encontrar en ella seres extraordinarios, magníficos, personas-personas. Muchos héroes y pocos villanos.
Me gustó la vida militar y estuve pensando en quedarme en ella...
Tuve dos capitanes ejemplares, ambos comandantes ya cuando me licenciaron...
Y, claro, lo que yo viví (como recluta, como soldado, como Cabo y como Cabo Primero) NADA TIENE QUE VER CON LO QUE OBSERVO AHORA EN INTERNET O TELEVISIÓN O RADIO. Ejército en el que tras el Rey y el Presidente del Gobierno el jefe inmediato es una mujer; ejército plagado de hispanoamericanos (españoles, no lo dudo) que no sé cómo responderían ante un ataque externo a nuestra Patria; ejército de hombre y mujeres y LGTBIQ+ que (aunque pregunto a la señora Robles, no me contesta) no tengo ni idea de cómo se organizan a la hora de las duchas o de los servicios más ""naturales"", digamos...
Veo ""mossos"" con pelambreras que a nosotros nos estaban vedadas; policías y números de la Guardia Civil con tatuajes de todo tipo, que poco o nada tienen que ver con los típicos de los Regulares o de los Legionarios (éstos llenos de romanticismo)...
Y lo del ""Molt Honorable Puigdemont"", poniendo en ridículo a las Fuerzas de seguridad del Estado. Si el día de mañana nuestra Policía pide a INTERPOL ayuda, no me extrañaría que recibiésemos esta contestación: ""APAÑÁOSLA COMO PODÁIS. NO LLORÉIS COMO MUJER LO QUE NO HICÍSTEIS COMO HOMBRES""."
